train_loss,val_loss,train_acc,val_acc
1.5202112281629576,1.945948010739981,48.00936768149883,28.922237380627557
1.0092283037842298,0.8110249084795318,70.05269320843091,77.62619372442019
0.8381839423883156,0.667719290249995,75.7903981264637,81.30968622100956
0.7314327355011844,0.6686763181205011,80.73770491803279,81.71896316507504
0.6613503108259107,0.5523467829900744,82.2599531615925,87.44884038199181
0.5926987780061762,0.4596608541346832,85.45081967213115,90.3137789904502
0.5180632543228828,0.3907749073079306,87.93911007025761,92.90586630286494
0.47843084723385493,0.41129941004360193,88.84660421545668,91.95088676671215
0.4556138309578147,0.39559180772320796,90.28103044496487,92.49658935879945
0.4154539024522768,0.36077614504676236,91.53981264637002,94.40654843110505
0.4137931889756223,0.4116502907559133,91.39344262295081,92.08731241473397
0.3907270864245484,0.32148753592457324,92.56440281030444,95.22510231923602
0.35365298606751955,0.3113791364846093,93.79391100702576,95.49795361527967
0.3273731290037794,0.2792375965544504,94.84777517564403,96.5893587994543
0.3375524042361793,0.28800698492731924,94.20374707259953,95.77080491132332
0.32026589614725226,0.26597950086099226,95.08196721311475,97.13506139154161
0.2897014272436325,0.274027353744715,96.0480093676815,96.31650750341065
0.2898757090613211,0.26329401220826465,96.16510538641687,96.5893587994543
0.2847470547611317,0.2580457483030764,96.28220140515222,97.27148703956344
0.2650508549788517,0.2830788805409961,97.10187353629976,96.45293315143248
0.2649212166911266,0.24603749362378297,97.24824355971897,97.27148703956344
0.25830022435835986,0.24942948588895603,97.27751756440281,97.40791268758527
0.2434520462497336,0.22826825686073562,97.80444964871194,98.49931787175989
0.23410040349535977,0.23001859466180632,98.00936768149883,97.95361527967258
0.2326737670904021,0.22142238668985614,98.36065573770492,98.22646657571623
0.22573286574115797,0.22341067115248958,98.38992974238876,98.0900409276944
0.2223464214271349,0.21411249907572955,98.4192037470726,98.49931787175989
0.22597480294855193,0.20688222216551497,98.24355971896955,99.04502046384721
0.21330522318355372,0.2096307141881685,98.97540983606558,99.18144611186904
0.2109505980159974,0.21137301438827308,99.09250585480093,98.63574351978171
0.2089381792017671,0.2131595431863855,98.88758782201405,98.49931787175989
0.20040387679458502,0.20683476406100015,99.35597189695551,99.18144611186904
0.20261228419578606,0.21016140174410353,99.26814988290398,98.77216916780355
0.20220180850397507,0.20793730451497994,99.06323185011709,98.90859481582538
0.2008800370492198,0.20738295724902603,99.26814988290398,98.90859481582538
0.20302487648063855,0.20770332790494453,99.23887587822014,98.77216916780355
0.20207033702444974,0.2067838479519541,99.23887587822014,99.04502046384721
0.19914722076204958,0.2049592943178518,99.26814988290398,98.90859481582538
0.198265799314691,0.20573057923440555,99.29742388758783,99.04502046384721
0.20561049965840592,0.2042033041320426,99.06323185011709,99.04502046384721
